id,phase,cluster,slug,title,target_query,tier,gate,status
001,1,skvazhina-osnovy,skvazhina-na-vodu-pod-klyuch,Скважина на воду под ключ: что входит в работы и от чего зависит результат,скважина на воду под ключ,СЧ,,план
002,1,skvazhina-osnovy,kolodec-ili-skvazhina,Колодец или скважина: что выбрать для загородного дома,колодец или скважина,ВЧ,,план
003,1,skvazhina-osnovy,kakoj-glubiny-byvaet-skvazhina-v-podmoskovje,Какой глубины бывает скважина на воду в Подмосковье,какой глубины скважина,СЧ,,план
004,1,skvazhina-osnovy,skvazhina-na-pesok-ili-na-izvestnyak,"Скважина на песок или на известняк: разница, срок службы, цена",скважина на песок или известняк,СЧ,,план
005,1,skvazhina-osnovy,artezianskaya-skvazhina-chto-eto,"Артезианская скважина: что это, плюсы и срок службы",артезианская скважина что это,СЧ,,план
006,1,skvazhina-osnovy,abissinskaya-skvazhina-kogda-podhodit,"Абиссинская скважина (игла): когда подходит, а когда нет",абиссинская скважина,СЧ,,план
007,1,skvazhina-osnovy,pasport-skvazhiny-chto-v-nem,Паспорт скважины: что в нём и зачем хранить,паспорт скважины на воду,НЧ,,план
008,1,skvazhina-osnovy,skolko-sluzhit-skvazhina,Сколько служит скважина и от чего это зависит,сколько служит скважина,НЧ,,план
009,1,skvazhina-osnovy,debit-skvazhiny-skolko-vody,Дебит скважины: сколько воды хватит для дома,дебит скважины,НЧ,,план
010,1,skvazhina-osnovy,staticheskij-i-dinamicheskij-uroven-vody,Статический и динамический уровень воды простыми словами,динамический уровень воды в скважине,НЧ,,план
011,1,skvazhina-osnovy,nuzhna-li-licenziya-na-skvazhinu,Нужна ли лицензия на скважину для частного дома,нужна ли лицензия на скважину,СЧ,,план
012,1,skvazhina-osnovy,licenziya-na-skvazhinu-v-snt,Лицензия на скважину в СНТ: кто оформляет и что грозит без неё,лицензия на скважину в снт,СЧ,,план
013,1,skvazhina-osnovy,shtraf-za-skvazhinu-bez-licenzii,Штраф за скважину без лицензии: суммы и кому реально грозит,штраф за скважину без лицензии,НЧ,,план
014,1,skvazhina-osnovy,normy-rasstoyaniya-skvazhina-septik-dom-zabor,"Нормы: расстояние от скважины до септика, дома и забора",расстояние от скважины до септика,СЧ,,план
015,1,skvazhina-osnovy,mozhno-li-burit-skvazhinu-zimoj,Можно ли бурить скважину зимой,можно ли бурить скважину зимой,НЧ,,план
016,1,skvazhina-osnovy,skvazhina-vnutri-doma-plyusy-minusy,"Скважина в подвале дома: плюсы, минусы, ошибки",скважина в подвале дома,НЧ,,план
